Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_Push","Kailh_socket_PG1350",82.874961,-23.374989,180.000000,top
"SW2","SW_Push","Kailh_socket_PG1350",99.874953,-23.374989,0.000000,top
"SW3","SW_Push","Kailh_socket_PG1350",116.874945,-23.374989,0.000000,top
"SW4","SW_Push","Kailh_socket_PG1350",133.874937,-23.374989,0.000000,top
"SW5","SW_Push","Kailh_socket_PG1350",150.874929,-23.374989,0.000000,top
"SW6","SW_Push","Kailh_socket_PG1350",167.874921,-23.374989,0.000000,top
"SW7","SW_Push","Kailh_socket_PG1350",184.874913,-23.374989,0.000000,top
"SW8","SW_Push","Kailh_socket_PG1350",201.874905,-23.374989,0.000000,top
"SW9","SW_Push","Kailh_socket_PG1350",218.874897,-23.374989,0.000000,top
"SW10","SW_Push","Kailh_socket_PG1350",235.874889,-23.374989,0.000000,top
"SW11","SW_Push","Kailh_socket_PG1350",82.874961,-40.374981,180.000000,top
"SW12","SW_Push","Kailh_socket_PG1350",99.874953,-40.374981,0.000000,top
"SW13","SW_Push","Kailh_socket_PG1350",116.874945,-40.374981,0.000000,top
"SW14","SW_Push","Kailh_socket_PG1350",133.874937,-40.374981,0.000000,top
"SW15","SW_Push","Kailh_socket_PG1350",150.874929,-40.374981,0.000000,top
"SW16","SW_Push","Kailh_socket_PG1350",167.874921,-40.374981,0.000000,top
"SW17","SW_Push","Kailh_socket_PG1350",184.874913,-40.374981,0.000000,top
"SW18","SW_Push","Kailh_socket_PG1350",201.874905,-40.374981,0.000000,top
"SW19","SW_Push","Kailh_socket_PG1350",218.874897,-40.374981,0.000000,top
"SW20","SW_Push","Kailh_socket_PG1350",235.874889,-40.374981,0.000000,top
"SW21","SW_Push","Kailh_socket_PG1350",82.874961,-57.374973,180.000000,top
"SW22","SW_Push","Kailh_socket_PG1350",99.874953,-57.374973,0.000000,top
"SW23","SW_Push","Kailh_socket_PG1350",116.874945,-57.374973,0.000000,top
"SW24","SW_Push","Kailh_socket_PG1350",133.874937,-57.374973,0.000000,top
"SW25","SW_Push","Kailh_socket_PG1350",150.874929,-57.374973,0.000000,top
"SW26","SW_Push","Kailh_socket_PG1350",167.874921,-57.374973,0.000000,top
"SW27","SW_Push","Kailh_socket_PG1350",184.874913,-57.374973,0.000000,top
"SW28","SW_Push","Kailh_socket_PG1350",201.874905,-57.374973,0.000000,top
"SW29","SW_Push","Kailh_socket_PG1350",218.874897,-57.374973,0.000000,top
"SW30","SW_Push","Kailh_socket_PG1350",235.874889,-57.374973,0.000000,top
"SW31","SW_Push","Kailh_socket_PG1350",82.874961,-74.374965,180.000000,top
"SW32","SW_Push","Kailh_socket_PG1350",99.874953,-74.374965,0.000000,top
"SW33","SW_Push","Kailh_socket_PG1350",116.874945,-74.374965,0.000000,top
"SW34","SW_Push","Kailh_socket_PG1350",133.874937,-74.374965,0.000000,top
"SW35","SW_Push","Kailh_socket_PG1350",150.874929,-74.374965,0.000000,top
"SW36","SW_Push","Kailh_socket_PG1350",167.874921,-74.374965,0.000000,top
"SW37","SW_Push","Kailh_socket_PG1350",184.874913,-74.374965,0.000000,top
"SW38","SW_Push","Kailh_socket_PG1350",201.874905,-74.374965,0.000000,top
"SW39","SW_Push","Kailh_socket_PG1350",218.874897,-74.374965,0.000000,top
"SW40","SW_Push","Kailh_socket_PG1350",235.874889,-74.374965,0.000000,top
